Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,LU - BYU,,
,,,2 Shaylee Gonzales > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,8:11,Shot > Shaylee Gonzales > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,8:25,Player Movement > Sub In > Home Player > Emma Calvert,,,
,,8:25,Player Movement > Sub Out > Home Player > Kaylee Smiler,,,
,,8:25,Player Movement > Sub In > Home Player > Shaylee Gonzales,,,
,,8:25,Player Movement > Sub In > Home Player > Paisley Johnson,,,
,,8:25,Player Movement > Sub Out > Home Player > Tegan Graham,,,
,,8:25,Player Movement > Sub Out > Home Player > Shaylee Gonzales,,,
,,8:07,Misc Stat > Defensive Rebound > Maddie Cook,,,
LU,2,8:04,22 Maddie Cook > Transition > Ballhandler > Turnover,14,-,24
,,8:04,Misc Stat > Steal > Lauren Gustin,,,
,,8:04,Turnover > Any Type > Maddie Cook,,,
BYU,2,7:59,2 Shaylee Gonzales > Transition > First Middle > To Basket > Miss 2 Pts,14,-,24
,,7:59,Misc Stat > Block > Maddie Cook,,,
,,7:58,Misc Stat > Team Offensive Rebound > Home,,,
BYU,2,7:48,25 Emma Calvert > Post-Up > Flash Middle > Left Shoulder > No Dribble Move > Turnover,14,-,24
,,7:48,Turnover > Any Type > Emma Calvert,,,
,,7:48,Player Movement > Sub Out > Away Player > Maddie Cook,,,
LU,2,7:37,15 Blythe Pearson > Off Screen > To Shooter's Left > Flare > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,14,-,24
,,7:37,Shot > Blythe Pearson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,7:48,Player Movement > Sub In > Away Player > Casey Collier,,,
,,7:31,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,2,7:24,5 Maria Albiero > No Play Type > To Basket > Miss 2 Pts,14,-,24
,,7:24,Shot > Maria Albiero > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:21,Misc Stat > Defensive Rebound > Bella Vinson,,,
LU,2,7:05,23 Jaylin Holcomb > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,14,-,24
,,7:05,Shot > Jaylin Holcomb > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:02,Misc Stat > Defensive Rebound > Maria Albiero,,,
BYU,2,6:56,12 Lauren Gustin > Post-Up > Right Block > Right Shoulder > No Dribble Move > To Basket > Make 2 Pts,14,-,26
,,6:56,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,6:56,Misc Stat > Assist > Shaylee Gonzales,,,
LU,2,6:33,24 Casey Collier > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Turnover,14,-,26
,,6:33,Turnover > Any Type > Casey Collier,,,
,,6:33,Player Movement > Sub In > Home Player > Kaylee Smiler,,,
BYU,2,6:33,25 Emma Calvert > No Play Type > Turnover,14,-,26
,,6:33,Player Movement > Sub Out > Home Player > Maria Albiero,,,
,,6:33,Player Movement > Sub Out > Home Player > Lauren Gustin,,,
,,6:33,Player Movement > Sub In > Home Player > Tegan Graham,,,
,,6:24,Personal Foul > Offensive Foul - Player Control > Emma Calvert,,,
,,6:24,Turnover > Any Type > Emma Calvert,,,
LU,2,6:13,23 Jaylin Holcomb > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Foul,14,-,26
,,6:13,Personal Foul > Defensive - Any > Kaylee Smiler,,,
LU,2,6:13,23 Jaylin Holcomb > Non Possession > Free Throw,15,-,26
,,6:13,Shot > Jaylin Holcomb > Free Throw > Made,,,
LU,2,6:13,23 Jaylin Holcomb > Non Possession > Free Throw,14,-,26
,,6:13,Shot > Jaylin Holcomb > Free Throw > Missed,,,
LU,2,6:12,15 Blythe Pearson > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,15,-,26
,,6:12,Shot > Blythe Pearson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,6:13,Misc Stat > Offensive Rebound > Blythe Pearson,,,
,,6:09,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,2,5:59,2 Shaylee Gonzales > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,15,-,26
,,5:59,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,2,5:52,2 Shaylee Gonzales > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,15,-,28
,,5:52,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
