Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - MTS,,
,,6:09,Shot > Ashley Van Sickle > Any Type > 3 Point Attempt > Miss 3 Pts,,,
MTS,2,6:04,0 Darian White > Offensive Rebound > Long > Run Offense,29,-,21
,,6:04,Misc Stat > Offensive Rebound > Darian White,,,
MTS,2,5:48,0 Darian White > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,29,-,23
,,5:48,Shot > Darian White > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,5:49,Misc Stat > Offensive Rebound > Darian White,,,
BYU,2,5:29,12 Lauren Gustin > Post-Up > Right Block > Defense Commits,29,-,23
,,,Ball Delivered,,,
,,,13 Paisley Harding > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,5:29,Shot > Paisley Harding > Any Type > 3 Point Attempt > Miss 3 Pts,,,
BYU,2,5:28,12 Lauren Gustin > Offensive Rebound > Short > Run Offense,29,-,23
,,5:28,Personal Foul > Defensive - Any > Kola Bad Bear,,,
,,5:28,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,2,5:20,12 Lauren Gustin > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits,32,-,23
,,,Ball Delivered,,,
,,,25 Emma Calvert > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,,,
,,5:20,Shot > Emma Calvert > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,5:20,Misc Stat > Assist > Maria Albiero,,,
MTS,2,5:05,0 Darian White > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,32,-,23
,,,Ball Delivered,,,
,,,23 Gabby Mocchi > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,5:05,Shot > Gabby Mocchi > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,5:02,Misc Stat > Defensive Rebound > Emma Calvert,,,
BYU,2,4:50,5 Maria Albiero > Spot-Up > Drives Right > To Basket > Make 2 Pts,34,-,23
,,4:50,Shot > Maria Albiero > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,4:48,Time Event > Full Time Out > Home Team,,,
MTS,2,4:36,0 Darian White > P&R Ball Handler > High P&R > Go Away from Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts,34,-,23
,,4:36,Shot > Darian White > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,4:34,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,2,4:22,13 Paisley Harding > Cut > Flash > Miss 2 Pts,34,-,23
,,4:22,Shot > Paisley Harding > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,4:20,Misc Stat > Defensive Rebound > Darian White,,,
MTS,2,4:13,0 Darian White > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Foul,34,-,23
,,4:13,Personal Foul > Defensive - Any > Lauren Gustin,,,
MTS,2,4:13,0 Darian White > Non Possession > Free Throw,34,-,24
,,4:13,Shot > Darian White > Free Throw > Made,,,
MTS,2,4:13,0 Darian White > Non Possession > Free Throw,34,-,25
,,4:13,Shot > Darian White > Free Throw > Made,,,
BYU,2,3:44,10 Tegan Graham > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,37,-,25
,,3:44,Shot > Tegan Graham > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,3:44,Misc Stat > Assist > Emma Calvert,,,
MTS,2,3:16,10 Kola Bad Bear > Spot-Up > Drives Left > To Basket > Foul,37,-,25
,,3:16,Personal Foul > Defensive - Any > Emma Calvert,,,
MTS,2,3:16,10 Kola Bad Bear > Non Possession > Free Throw,37,-,25
,,3:16,Shot > Kola Bad Bear > Free Throw > Missed,,,
MTS,2,3:16,10 Kola Bad Bear > Non Possession > Free Throw,37,-,26
,,3:16,Shot > Kola Bad Bear > Free Throw > Made,,,
BYU,2,2:48,5 Maria Albiero > P&R Ball Handler > Right P&R > Side > Defense Commits,39,-,26
,,,Ball Delivered,,,
,,,13 Paisley Harding > Spot-Up > Drives Left > To Basket > Make 2 Pts,,,
,,2:48,Shot > Paisley Harding > Any Type > 2 Point Attempt > Make 2 Pts,,,
MTS,2,2:36,10 Kola Bad Bear > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,39,-,26
,,2:36,Shot > Kola Bad Bear > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,2:34,Misc Stat > Defensive Rebound > Emma Calvert,,,
BYU,2,2:26,10 Tegan Graham > Transition > Left Wing > To Basket > Foul,39,-,26
,,2:26,Personal Foul > Defensive - Any > Gabby Mocchi,,,
BYU,2,2:26,10 Tegan Graham > Non Possession > Free Throw,40,-,26
,,2:26,Shot > Tegan Graham > Free Throw > Made,,,
BYU,2,2:26,10 Tegan Graham > Non Possession > Free Throw,41,-,26
,,2:26,Shot > Tegan Graham > Free Throw > Made,,,
MTS,2,2:15,0 Darian White > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,41,-,28
,,,Ball Delivered,,,
,,,24 Taylor Janssen > P&R Roll Man > Pick and Pops > Drives Right > Dribble Jumper > Short to < 17' > Make 2 Pts,,,
,,2:15,Shot > Taylor Janssen > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,2,1:45,11 Kaylee Smiler > Cut > Basket > Miss 2 Pts,41,-,28
,,1:45,Shot > Kaylee Smiler > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:42,Misc Stat > Defensive Rebound > Katelynn Limardo,,,
MTS,2,1:27,23 Gabby Mocchi > Post-Up > Right Block > Defense Commits,41,-,30
,,,Ball Delivered,,,
,,,24 Taylor Janssen > Cut > Basket > Make 2 Pts,,,
,,1:27,Shot > Taylor Janssen > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,2,1:08,2 Shaylee Gonzales > Off Screen > To Shooter's Right > Straight > To Basket > Foul,41,-,30
,,1:08,Personal Foul > Defensive - Any > Gabby Mocchi,,,
BYU,2,1:08,2 Shaylee Gonzales > Non Possession > Free Throw,41,-,30
,,1:08,Shot > Shaylee Gonzales > Free Throw > Missed,,,
BYU,2,1:08,2 Shaylee Gonzales > Non Possession > Free Throw,42,-,30
,,1:08,Shot > Shaylee Gonzales > Free Throw > Made,,,
MTS,2,0:57,0 Darian White > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,42,-,30
,,,Ball Delivered,,,
,,,24 Taylor Janssen > P&R Roll Man > Pick and Pops > Turnover,,,
,,0:57,Misc Stat > Steal > Shaylee Gonzales,,,
,,0:57,Turnover > Any Type > Taylor Janssen,,,
BYU,2,0:52,2 Shaylee Gonzales > Transition > Ballhandler > To Basket > Make 2 Pts,44,-,30
,,0:52,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
MTS,2,0:39,10 Kola Bad Bear > Post-Up > Left Block > Left Shoulder > No Dribble Move > To Basket > Foul,44,-,30
,,0:39,Personal Foul > Defensive - Any > Sara Hamson,,,
MTS,2,0:39,10 Kola Bad Bear > Non Possession > Free Throw,44,-,31
,,0:39,Shot > Kola Bad Bear > Free Throw > Made,,,
MTS,2,0:39,10 Kola Bad Bear > Non Possession > Free Throw,44,-,32
,,0:39,Shot > Kola Bad Bear > Free Throw > Made,,,
