Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FS - BYU,,
,,7:43,Shot > Sara Hamson > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,7:43,Misc Stat > Assist > Maria Albiero,,,
FS,2,7:24,1 Haley Cavinder > P&R Ball Handler > High P&R > Go Away from Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts,19,-,25
,,7:24,Shot > Haley Cavinder > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:24,Misc Stat > Team Defensive Rebound > Home,,,
BYU,2,7:02,2 Shaylee Gonzales > Cut > Basket > Miss 2 Pts,19,-,25
,,7:02,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:19,Player Movement > Sub Out > Away Player > Wytalla Motta,,,
,,7:19,Player Movement > Sub Out > Away Player > Haley Cavinder,,,
,,7:19,Player Movement > Sub In > Away Player > Maria Guimaraes,,,
,,7:19,Player Movement > Sub In > Away Player > Hanna Cavinder,,,
,,7:02,Misc Stat > Defensive Rebound > Maria Guimaraes,,,
FS,2,6:54,0 Hanna Cavinder > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Turnover,19,-,25
,,6:54,Misc Stat > Steal > Tegan Graham,,,
,,6:54,Turnover > Any Type > Hanna Cavinder,,,
BYU,2,6:44,13 Paisley Johnson > ISO > Right > Drives Right > Defense Commits,19,-,27
,,,Ball Delivered,,,
,,,22 Sara Hamson > Cut > Basket > Make 2 Pts,,,
,,6:44,Shot > Sara Hamson > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,6:44,Misc Stat > Assist > Paisley Johnson,,,
FS,2,6:10,42 Maria Guimaraes > Cut > Basket > Make 2 Pts,21,-,27
,,6:10,Shot > Maria Guimaraes > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,6:10,Misc Stat > Assist > Tamia Stricklin,,,
BYU,2,5:56,2 Shaylee Gonzales > Cut > Basket > Make 2 Pts,21,-,29
,,5:56,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,5:56,Misc Stat > Assist > Tegan Graham,,,
FS,2,5:35,0 Hanna Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,21,-,29
,,,Ball Delivered,,,
,,,30 Yanina Todorova > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,5:35,Shot > Yanina Todorova > Any Type > 3 Point Attempt > Miss 3 Pts,,,
FS,2,5:35,42 Maria Guimaraes > Offensive Rebound > Long > Run Offense,21,-,29
,,5:35,Misc Stat > Offensive Rebound > Maria Guimaraes,,,
FS,2,5:29,42 Maria Guimaraes > Offensive Rebound > Long > Run Offense,21,-,29
,,5:29,Misc Stat > Offensive Rebound > Maria Guimaraes,,,
FS,2,5:06,0 Hanna Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,21,-,29
,,,Ball Delivered,,,
,,,13 Amiee Book > Spot-Up > Drives Left > To Basket > Miss 2 Pts,,,
,,5:06,Shot > Amiee Book > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,5:06,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
,,5:06,Misc Stat > Block > Sara Hamson,,,
BYU,2,4:55,2 Shaylee Gonzales > Transition > Right Wing > To Basket > Make 2 Pts,21,-,31
