Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,ASU - BYU,,
,,4:33,Misc Stat > Steal > Nani Falatea,,,
BYU,2,4:31,4 Arielle MackeyWilliams > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul,16,-,18
,,4:31,Time Event > Full Time Out > Away Team,,,
,,4:31,Personal Foul > Defensive - Any > Jaddan Simmons,,,
BYU,2,4:31,4 Arielle MackeyWilliams > Non Possession > Free Throw,16,-,19
,,4:31,Shot > Arielle Mackeywilliams > Free Throw > Made,,,
,,4:31,Player Movement > Sub Out > Away Player > Imogen Greenslade,,,
,,4:31,Player Movement > Sub Out > Away Player > Sydney Erikstrup,,,
,,4:31,Player Movement > Sub In > Away Player > Katelyn Levings,,,
,,4:31,Player Movement > Sub In > Away Player > Mael Gilles,,,
BYU,2,4:31,4 Arielle MackeyWilliams > Non Possession > Free Throw,16,-,20
,,4:31,Shot > Arielle Mackeywilliams > Free Throw > Made,,,
ASU,2,4:15,2 Jaddan Simmons > Post-Up > Right Block > Face-up > Defense Commits,16,-,20
,,,Ball Delivered,,,
,,,20 Katelyn Levings > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,4:15,Shot > Katelyn Levings > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,4:15,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,2,3:55,10 Tegan Graham > Non Possession > Non Shooting Foul,16,-,20
,,3:55,Personal Foul > Defensive - Any > Mael Gilles,,,
BYU,2,3:49,3 Nani Falatea > No Play Type > Turnover,16,-,20
,,3:49,Turnover > Any Type > Nani Falatea,,,
ASU,2,3:41,0 Taya Hanson > Spot-Up > Drives Right > Turnover,16,-,20
,,3:41,Personal Foul > Defensive - Any > Taya Hanson,,,
,,3:41,Turnover > Any Type > Taya Hanson,,,
BYU,2,3:17,3 Nani Falatea > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,16,-,22
,,,Ball Delivered,,,
,,,12 Lauren Gustin > P&R Roll Man > Rolls to Basket > Make 2 Pts,,,
,,3:17,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,3:41,Player Movement > Sub In > Away Player > Jade Loville,,,
,,3:41,Player Movement > Sub Out > Away Player > Taya Hanson,,,
,,3:17,Misc Stat > Assist > Nani Falatea,,,
ASU,2,3:10,2 Jaddan Simmons > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Foul,16,-,22
,,3:10,Time Event > Full Time Out > Away Team,,,
,,2:46,Personal Foul > Defensive - Any > Lauren Gustin,,,
ASU,2,2:46,2 Jaddan Simmons > Non Possession > Free Throw,17,-,22
,,2:46,Shot > Jaddan Simmons > Free Throw > Made,,,
ASU,2,2:46,2 Jaddan Simmons > Non Possession > Free Throw,18,-,22
,,2:46,Shot > Jaddan Simmons > Free Throw > Made,,,
BYU,2,2:46,13 Paisley Johnson > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Foul,18,-,22
,,2:46,Player Movement > Sub Out > Home Player > Lauren Gustin,,,
,,2:46,Player Movement > Sub In > Away Player > Imogen Greenslade,,,
,,2:46,Player Movement > Sub Out > Home Player > Arielle Mackeywilliams,,,
,,2:46,Player Movement > Sub Out > Away Player > Katelyn Levings,,,
,,2:46,Player Movement > Sub In > Home Player > Sara Hamson,,,
,,2:46,Player Movement > Sub In > Home Player > Kaylee Smiler,,,
,,2:27,Personal Foul > Defensive - Any > Mael Gilles,,,
BYU,2,2:27,13 Paisley Johnson > Non Possession > Free Throw,18,-,23
,,2:27,Shot > Paisley Johnson > Free Throw > Made,,,
BYU,2,2:27,13 Paisley Johnson > Non Possession > Free Throw,18,-,24
,,2:27,Shot > Paisley Johnson > Free Throw > Made,,,
ASU,2,2:27,2 Jaddan Simmons > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,18,-,24
,,,Ball Delivered,,,
,,,12 Mael Gilles > P&R Roll Man > Rolls to Basket > Turnover,,,
,,2:27,Player Movement > Sub In > Away Player > Taya Hanson,,,
,,2:27,Player Movement > Sub Out > Away Player > Gabriela Bosquez,,,
,,1:56,Turnover > Any Type > Mael Gilles,,,
,,1:56,Misc Stat > Steal > Sara Hamson,,,
BYU,2,1:31,13 Paisley Johnson > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts,18,-,24
,,1:31,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,2,1:31,11 Kaylee Smiler > Offensive Rebound > Short > Run Offense,18,-,24
,,1:31,Misc Stat > Offensive Rebound > Kaylee Smiler,,,
BYU,2,1:22,13 Paisley Johnson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,18,-,27
,,1:22,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,1:22,Misc Stat > Assist > Tegan Graham,,,
ASU,2,1:01,30 Jade Loville > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,18,-,27
,,1:01,Shot > Jade Loville > Any Type > 2 Point Attempt > Miss 2 Pts,,,
ASU,2,1:01,0 Taya Hanson > Offensive Rebound > Long > Run Offense,18,-,27
,,1:01,Misc Stat > Offensive Rebound > Taya Hanson,,,
