Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FSU - BYU,,
,,6:12,Shot > O'Mariah Gordon > Any Type > 3 Point Attempt > Miss 3 Pts,,,
FSU,2,6:08,24 Morgan Jones > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,18,-,25
,,6:08,Shot > Morgan Jones > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,6:09,Misc Stat > Offensive Rebound > Morgan Jones,,,
,,6:05,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,2,6:03,3 Nani Falatea > Transition > Left Wing > Turnover,18,-,25
,,6:03,Misc Stat > Steal > O'Mariah Gordon,,,
,,6:03,Turnover > Any Type > Nani Falatea,,,
FSU,2,5:59,11 O’Mariah Gordon > Transition > Ballhandler > To Basket > Make 2 Pts,20,-,25
,,5:59,Shot > O'Mariah Gordon > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,2,5:37,2 Shaylee Gonzales > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,20,-,27
,,5:37,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
FSU,2,5:15,11 O’Mariah Gordon > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits,20,-,27
,,,Ball Delivered,,,
,,,24 Morgan Jones > Spot-Up > Drives Straight > To Basket > Foul,,,
,,5:15,Personal Foul > Defensive - Any > Sara Hamson,,,
FSU,2,5:15,24 Morgan Jones > Non Possession > Free Throw,20,-,27
,,5:15,Shot > Morgan Jones > Free Throw > Missed,,,
,,5:15,Misc Stat > Team Offensive Rebound > Away,,,
FSU,2,5:15,24 Morgan Jones > Non Possession > Free Throw,21,-,27
,,5:15,Shot > Morgan Jones > Free Throw > Made,,,
,,5:15,Player Movement > Sub Out > Away Player > Valencia Myers,,,
,,5:15,Player Movement > Sub Out > Home Player > Nani Falatea,,,
,,5:15,Player Movement > Sub In > Away Player > Sammie Puisis,,,
,,5:15,Player Movement > Sub Out > Away Player > O'Mariah Gordon,,,
,,5:15,Player Movement > Sub In > Home Player > Tegan Graham,,,
,,5:15,Player Movement > Sub Out > Away Player > Morgan Jones,,,
,,5:15,Player Movement > Sub In > Away Player > Makayla Timpson,,,
,,5:15,Player Movement > Sub In > Home Player > Maria Albiero,,,
,,5:15,Player Movement > Sub In > Away Player > Sara Bejedi,,,
,,5:15,Player Movement > Sub Out > Home Player > Sara Hamson,,,
