"","Player Name","Position","Institution","Initiated Date","BPM_Pred","Percentile","GP","MPG","PPG","REBPG","ASTPG","STLPG","BLKPG","TOPG","FG.","FT.","X3P.","TMIN","FGM","FGA","FTM","FTA","X3PM","X3PA","PTS","OR","DR","TREB","AST","TO","STL","BLK"
"211","JILLIAN ARCHER","F","Georgetown University","03/10/2022",3.60158877610103,0.56,22,26.1,8,6.9,1.1,0.8,0.8,1.8,54.5,67.9,33.3,575,67,123,36,53,5,15,175,45,106,151,25,39,17,17
"212","RACHEL HAKES","G","Fairfield University","03/24/2022",3.58745501779821,0.56,32,35.7,7.3,5.1,5.8,1.5,0.3,2.3,47,84,42.4,1141,71,151,68,81,25,59,235,36,128,164,187,75,48,8
"213","ANJA KNOFLACH","G","Siena College","03/18/2022",3.56874324415042,0.56,23,18.4,4.7,3,0.3,0.4,0.1,0.7,33.1,87.5,33.3,424,39,118,7,8,23,69,108,17,51,68,8,16,9,2
"214","SHANICE SIMPSON-WHITELEY","F","University of Tennessee at Martin","03/17/2022",3.55763235388081,0.55,28,12,3.6,3.5,0.1,0.6,0.5,0.8,54.9,69.7,25,335,39,71,23,33,1,4,102,39,58,97,4,22,17,13
"215","DERIN ERDOGAN","G","University of Arizona","03/25/2022",3.53302563082388,0.55,13,5.2,1.1,0.2,0.4,0,0,0.5,35.3,33.3,16.7,68,6,17,1,3,1,6,14,1,1,2,5,6,0,0
"216","KLARKE SCONIERS","C","University of Minnesota, Twin Cities","03/02/2022",3.52366373075804,0.55,11,7.4,1,1.5,0.1,0.1,0.5,0.3,33.3,75,0,81,4,12,3,4,0,0,11,6,11,17,1,3,1,5
"217","JODI MULLINS","G","Kennesaw State University","03/14/2022",3.51741228552711,0.55,17,4.6,1.5,0.2,0.1,0.2,0,0.2,34.6,50,28.6,78,9,26,3,6,4,14,25,2,2,4,1,4,4,0
"218","DIAMOND STOKES","F","Wright State University","03/03/2022",3.51099674010252,0.55,22,17.7,5.4,4.1,0.1,0.7,0.5,0.7,51,54.5,0,389,50,98,18,33,0,1,118,27,64,91,2,15,16,12
"219","JAQUIA WHITE","G","Southern Methodist University","03/29/2022",3.5024451349396,0.55,7,12.1,1.7,3.1,0.7,0.7,0.4,0.9,38.5,50,0,85,5,13,2,4,0,0,12,13,9,22,5,6,5,3
"220","KYREN WHITTINGTON","G","University of Louisiana Monroe","03/14/2022",3.4854699138749,0.54,26,26.8,15.8,3.3,1.5,1.1,0.3,3.7,42.9,74.4,27.8,698,154,359,87,117,15,54,410,34,51,85,40,95,28,9
"221","DANIELLE GRIM","G","Long Island University","03/15/2022",3.48102692112558,0.54,27,23.3,4.1,2.3,1.4,0.7,0.2,1.3,29.2,45.5,28,628,42,144,5,11,23,82,112,14,48,62,37,34,19,5
"222","NATALIE MCNEAL","G","Saint Louis University","03/23/2022",3.47296264617085,0.54,27,33.7,9.4,5.3,1.9,0.9,0.3,2.1,38.8,69.7,29.6,910,104,268,23,33,24,81,255,36,107,143,51,56,25,8
"223","JANAIA FARGO","G","Charleston Southern University","03/04/2022",3.4484137562768,0.54,29,27.3,8.2,1.8,1.3,0.8,0,2.8,37.4,69.4,31.6,792,79,211,43,62,36,114,237,12,39,51,39,82,22,1
"224","MARIYA TASER","G","The University of Texas Rio Grande Valley","03/18/2022",3.43755738871498,0.54,7,3.6,0.4,0.7,0.4,0.1,0,1,100,0,100,25,1,1,0,0,1,1,3,1,4,5,3,7,1,0
"225","CAMILLE GRAY","G","Long Island University","03/15/2022",3.42197895612677,0.53,22,10,0.9,1.9,0.1,0.9,0,0.6,38.1,30,0,219,8,21,3,10,0,0,19,19,23,42,2,13,20,1
"226","LINDA VAN SCHAIK","G","University of Louisiana Monroe","03/14/2022",3.41438470197474,0.53,29,17.1,4.7,4,0.8,0.8,0.3,1,35.3,76.9,27.7,495,42,119,30,39,23,83,137,34,81,115,24,28,22,8
"227","PAULLA WEEKES","F","Iona College","03/21/2022",3.39793460664996,0.53,10,7.8,0.9,1.5,0.6,0.5,0.1,0.7,60,60,0,78,3,5,3,5,0,0,9,2,13,15,6,7,5,1
"228","JAKAYLA BROWN","G","Hofstra University","03/18/2022",3.39435311067778,0.53,8,31,13,3.8,2,1,0.1,1,28,67.6,28.1,248,35,125,25,37,9,32,104,14,16,30,16,8,8,1
"229","VERONICA CHARLES","G","Stony Brook University","03/23/2022",3.389336842604,0.53,21,8.8,1.2,2.2,0.7,0.5,0,0.7,22.7,60,10.5,184,10,44,3,5,2,19,25,23,24,47,14,14,11,0
"230","TAYLOR WU","G","California Baptist University","03/25/2022",3.38708152695145,0.53,13,9.2,1.6,0.6,0.5,0.6,0,0.8,16.7,75,10.7,119,6,36,6,8,3,28,21,1,7,8,6,10,8,0
"231","SHAMARRE HALE","F","Wright State University","03/09/2022",3.33830134905901,0.52,3,11,5.3,2.7,0,0.7,0.3,1,77.8,100,0,33,7,9,2,2,0,0,16,2,6,8,0,3,2,1
"232","TOVA SABEL","G","Pennsylvania State University","03/17/2022",3.33516121251032,0.52,26,16.3,5.3,2.7,0.7,0.7,0.1,1.1,41.3,63.6,29.8,424,50,121,21,33,17,57,138,28,41,69,18,28,19,2
"233","CHRISTINA KLINE","G","La Salle University","03/24/2022",3.33359541933581,0.52,26,8.8,2.7,1.5,0.2,0.4,0.2,0.6,38.1,100,43.5,228,24,63,2,2,20,46,70,8,30,38,6,16,10,6
"234","PAULA MAURINA","F","University of Hartford","03/14/2022",3.32910828869016,0.52,25,25.7,13,3.9,0.8,0.5,0.8,3.4,47.9,69.1,22.9,642,124,259,67,97,11,48,326,28,69,97,21,84,12,21
"235","TENIN MAGASSA","C","University of Dayton","03/24/2022",3.29507560515632,0.51,31,18.1,5.9,6.2,1,0.6,2.1,2,52.1,54.2,0,562,75,144,32,59,0,0,182,62,131,193,31,61,18,65
"236","MORGAN BAIRD","F","Portland State University","03/14/2022",3.29375469265292,0.51,27,8.9,1.6,1.4,0.4,0.3,0.1,0.1,34.9,52.4,25,241,15,43,11,21,1,4,42,16,23,39,10,4,8,3
