"","Player Name","Position","Institution","Initiated Date","BPM_Pred","Percentile","GP","MPG","PPG","REBPG","ASTPG","STLPG","BLKPG","TOPG","FG.","FT.","X3P.","TMIN","FGM","FGA","FTM","FTA","X3PM","X3PA","PTS","OR","DR","TREB","AST","TO","STL","BLK"
"535","RINNAH GREEN","G","University of North Carolina Wilmington","03/22/2022",0.063462162682213,0.07,25,13.8,3.2,1.5,1.7,0.4,0.3,1.9,33,56.3,25.9,345,32,97,9,16,7,27,80,4,34,38,43,47,10,8
"536","MARGARITA SATINI","G","Southern Utah University","03/16/2022",0.0264057283858267,0.07,22,8.2,1.6,0.9,0.5,0.2,0,0.8,29.7,73.7,0,180,11,37,14,19,0,5,36,3,17,20,10,18,4,1
"537","YULIYANA VALCHEVA","F","University of Texas at San Antonio","03/30/2022",-0.00410130407214224,0.07,30,13.1,3.6,3.1,0.1,0.3,0.2,1,36.4,52.9,11.1,392,40,110,27,51,1,9,108,49,45,94,3,30,9,5
"538","MARIA LLORENTE","G","The University of Texas Rio Grande Valley","03/14/2022",-0.0358632097139949,0.07,27,15,4.1,1.4,2,1.3,0.1,2.3,37.4,52.9,26.3,404,40,107,27,51,5,19,112,12,25,37,53,63,36,2
"539","MAJEGANE BARRY","F","University of New Orleans","03/22/2022",-0.0830855315758059,0.06,14,8.1,1.6,1.7,0,0.1,0.1,0.9,30.8,54.5,0,113,8,26,6,11,0,0,22,13,11,24,0,12,2,1
"540","TAMIA STALLINGS","F","Alabama State University","03/31/2022",-0.198573638006994,0.06,24,10.7,3.4,2.9,0.2,0.2,0.1,1.5,35,65.8,100,256,28,80,25,38,1,1,82,16,53,69,5,35,4,3
"541","OLIVIA POLLERD","F","University of Washington","03/03/2022",-0.23448018065851,0.06,10,3.7,0.7,0.3,0,0,0,0.4,40,75,0,37,2,5,3,4,0,0,7,2,1,3,0,4,0,0
"542","JESSICA MARTINO","F","The University of Texas Rio Grande Valley","03/14/2022",-0.331658588340426,0.06,29,5,3,1.2,0.2,0.1,0.1,0.9,49.1,50.9,75,146,28,57,28,55,3,4,87,14,20,34,6,26,4,3
"543","MIKAYLA PETERSON","F","Weber State University","03/29/2022",-0.378392668974454,0.06,8,4.5,0.6,0.6,0,0,0,0.9,12.5,75,0,36,1,8,3,4,0,2,5,1,4,5,0,7,0,0
"544","MIKALA HALL","G","Southern Illinois University Edwardsville","03/15/2022",-0.498559992601882,0.05,29,10.4,3,1.5,0.8,0.4,0.1,1.2,36,54.2,32.1,303,32,89,13,24,9,28,86,16,27,43,23,35,11,2
"545","TALIA DAVIS","F","University of New Hampshire","03/14/2022",-0.516295009599456,0.05,26,15.2,4.5,2.5,0.3,0.2,0.1,1.4,39.8,48.6,25,396,49,123,18,37,2,8,118,28,36,64,7,37,5,2
