Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,USU - BYU,,
,,9:22,Misc Stat > Defensive Rebound > Nani Falatea,,,
BYU,2,9:13,10 Tegan Graham > Transition > Left Wing > To Basket > Make 2 Pts,11,-,38
,,9:13,Shot > Tegan Graham > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,9:13,Misc Stat > Assist > Maria Albiero,,,
USU,2,8:56,15 Olivia Wikstrom > Hand Off > From Dribble > Top > Dribble Jumper > Long/3pt > Make 3 Pts,14,-,38
,,8:56,Shot > Olivia Wikstrom > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,8:56,Misc Stat > Assist > Emmie Harris,,,
BYU,2,8:34,12 Lauren Gustin > Post-Up > Right Block > Right Shoulder > Dribble Move > To Up and Under > Foul,14,-,38
,,8:34,Player Movement > Sub Out > Home Player > Paisley Johnson,,,
,,8:34,Player Movement > Sub In > Home Player > Shaylee Gonzales,,,
,,8:34,Personal Foul > Defensive - Any > Meagan Mendazona,,,
BYU,2,8:34,12 Lauren Gustin > Non Possession > Free Throw,14,-,38
,,8:34,Shot > Lauren Gustin > Free Throw > Missed,,,
BYU,2,8:34,12 Lauren Gustin > Non Possession > Free Throw,14,-,38
,,8:34,Shot > Lauren Gustin > Free Throw > Missed,,,
,,8:33,Misc Stat > Defensive Rebound > Olivia Wikstrom,,,
USU,2,8:21,3 Laci Hawthorne > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Make 2 Pts,16,-,38
,,8:21,Shot > Laci Hawthorne > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,2,8:02,10 Tegan Graham > Off Screen > To Shooter's Left > Flare > Turnover,16,-,38
,,8:02,Turnover > Any Type > Tegan Graham,,,
,,8:02,Misc Stat > Steal > Emmie Harris,,,
USU,2,7:36,15 Olivia Wikstrom > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,16,-,38
,,7:36,Shot > Olivia Wikstrom > Any Type > 2 Point Attempt > Miss 2 Pts,,,
USU,2,7:31,3 Laci Hawthorne > Offensive Rebound > Short > Run Offense,16,-,38
,,7:31,Misc Stat > Offensive Rebound > Laci Hawthorne,,,
USU,2,7:22,3 Laci Hawthorne > Spot-Up > Drives Right > To Basket > Turnover,16,-,38
,,7:22,Player Movement > Sub Out > Away Player > Laci Hawthorne,,,
,,7:22,Player Movement > Sub In > Away Player > Kaylin Randhawa,,,
,,7:22,Turnover > Any Type > Laci Hawthorne,,,
,,7:22,Personal Foul > Offensive Foul - Player Control > Laci Hawthorne,,,
BYU,2,7:12,2 Shaylee Gonzales > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,16,-,38
,,7:12,Shot > Shaylee Gonzales > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,7:07,Misc Stat > Defensive Rebound > Emmie Harris,,,
USU,2,6:44,0 Faith Brantley > P&R Ball Handler > High P&R > Split > Defense Commits > Turnover,16,-,38
,,6:44,Misc Stat > Steal > Tegan Graham,,,
,,6:44,Turnover > Any Type > Faith Brantley,,,
BYU,2,6:39,2 Shaylee Gonzales > Transition > Leak Outs > To Basket > Foul,16,-,38
,,6:39,Player Movement > Sub Out > Home Player > Maria Albiero,,,
,,6:39,Personal Foul > Defensive - Any > Olivia Wikstrom,,,
,,6:39,Player Movement > Sub In > Home Player > Paisley Johnson,,,
BYU,2,6:39,2 Shaylee Gonzales > Non Possession > Free Throw,16,-,39
,,6:39,Shot > Shaylee Gonzales > Free Throw > Made,,,
BYU,2,6:39,2 Shaylee Gonzales > Non Possession > Free Throw,16,-,40
,,6:39,Shot > Shaylee Gonzales > Free Throw > Made,,,
USU,2,6:30,10 Emmie Harris > Spot-Up > Drives Right > Turnover,16,-,40
,,6:30,Turnover > Any Type > Emmie Harris,,,
,,6:30,Misc Stat > Steal > Shaylee Gonzales,,,
BYU,2,6:24,3 Nani Falatea > Transition > First Middle > To Basket > Miss 2 Pts,16,-,40
,,6:24,Shot > Nani Falatea > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,6:20,Misc Stat > Defensive Rebound > Meagan Mendazona,,,
USU,2,6:18,15 Olivia Wikstrom > Transition > Left Wing > To Basket > Foul,18,-,40
,,6:18,Player Movement > Sub In > Away Player > E'lease Stafford,,,
,,6:18,Player Movement > Sub In > Home Player > Emma Calvert,,,
,,6:18,Player Movement > Sub Out > Home Player > Tegan Graham,,,
,,6:18,Personal Foul > Defensive - Any > Paisley Johnson,,,
,,6:18,Player Movement > Sub Out > Away Player > Faith Brantley,,,
USU,2,6:18,15 Olivia Wikstrom > Non Possession > Free Throw,17,-,40
,,6:18,Shot > Olivia Wikstrom > Free Throw > Made,,,
USU,2,6:18,15 Olivia Wikstrom > Non Possession > Free Throw,18,-,40
,,6:18,Shot > Olivia Wikstrom > Free Throw > Made,,,
BYU,2,6:09,13 Paisley Johnson > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,18,-,40
,,6:09,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
BYU,2,6:06,25 Emma Calvert > Offensive Rebound > Long > Run Offense,18,-,40
,,6:06,Misc Stat > Offensive Rebound > Emma Calvert,,,
BYU,2,5:57,12 Lauren Gustin > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits,18,-,42
,,,Ball Delivered,,,
,,,13 Paisley Johnson > Spot-Up > Drives Right > To Basket > Make 2 Pts,,,
,,5:57,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,5:57,Misc Stat > Assist > Lauren Gustin,,,
USU,2,5:48,2 Meagan Mendazona > Non Possession > Non Shooting Foul,18,-,42
,,5:48,Personal Foul > Defensive - Any > Shaylee Gonzales,,,
,,5:48,Player Movement > Sub Out > Home Player > Shaylee Gonzales,,,
,,5:48,Player Movement > Sub In > Home Player > Maria Albiero,,,
USU,2,5:43,10 Emmie Harris > Off Screen > To Shooter's Left > Flare > To Basket > Make 2 Pts,20,-,42
,,5:43,Shot > Emmie Harris > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,2,5:13,13 Paisley Johnson > Spot-Up > Drives Left > To Basket > Make 2 Pts,20,-,44
,,5:13,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Make 2 Pts,,,
USU,2,4:56,15 Olivia Wikstrom > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,20,-,44
,,,Ball Delivered,,,
,,,4 E'Lease Stafford > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,4:56,Shot > E'lease Stafford > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,4:53,Misc Stat > Defensive Rebound > Nani Falatea,,,
BYU,2,4:46,25 Emma Calvert > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,20,-,44
,,4:46,Shot > Emma Calvert > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,4:43,Misc Stat > Defensive Rebound > Kaylin Randhawa,,,
USU,2,4:36,10 Emmie Harris > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,20,-,44
,,4:36,Shot > Emmie Harris > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,4:33,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,2,4:25,5 Maria Albiero > Transition > First Middle > Turnover,20,-,44
,,4:25,Turnover > Any Type > Maria Albiero,,,
,,4:25,Player Movement > Sub In > Home Player > Tegan Graham,,,
,,4:25,Player Movement > Sub Out > Home Player > Nani Falatea,,,
USU,2,4:08,2 Meagan Mendazona > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Make 2 Pts,22,-,44
,,4:08,Shot > Meagan Mendazona > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,4:08,Misc Stat > Assist > E'lease Stafford,,,
BYU,2,3:44,10 Tegan Graham > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,22,-,47
,,3:44,Shot > Tegan Graham > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,3:44,Misc Stat > Assist > Maria Albiero,,,
USU,2,3:29,4 E'Lease Stafford > Spot-Up > Drives Left > To Basket > Miss 2 Pts,22,-,47
,,3:29,Shot > E'lease Stafford > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,3:29,Misc Stat > Block > Tegan Graham,,,
,,3:23,Misc Stat > Team Offensive Rebound > Away,,,
USU,2,3:17,21 Kaylin Randhawa > P&R Ball Handler > High P&R > Takes Early Jump Shot > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,22,-,47
,,3:17,Shot > Kaylin Randhawa > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,3:15,Misc Stat > Team Defensive Rebound > Home,,,
BYU,2,3:01,5 Maria Albiero > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits,22,-,50
,,,Ball Delivered,,,
,,,13 Paisley Johnson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,,,
,,3:01,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,3:01,Misc Stat > Assist > Tegan Graham,,,
USU,2,2:46,15 Olivia Wikstrom > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,22,-,50
,,2:46,Shot > Olivia Wikstrom > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,2:44,Misc Stat > Defensive Rebound > Tegan Graham,,,
BYU,2,2:37,12 Lauren Gustin > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Make 2 Pts,22,-,52
,,2:37,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
