Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - UWV,,
UWV,2,7:56,12 Esmery Martinez > Post-Up > Flash Middle > Face-up > Defense Commits > Turnover,13,-,23
,,7:56,Turnover > Any Type > Esmery Martinez,,,
,,7:56,Misc Stat > Steal > Nani Falatea,,,
BYU,2,7:48,12 Lauren Gustin > Transition > First Middle > To Basket > Make 2 Pts,15,-,23
,,7:48,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,7:48,Misc Stat > Assist > Tegan Graham,,,
UWV,2,7:33,3 Kirsten Deans > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,15,-,26
,,7:33,Shot > Kirsten Deans > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,7:47,Player Movement > Sub In > Away Player > Maria Albiero,,,
,,7:47,Player Movement > Sub Out > Away Player > Paisley Johnson,,,
,,7:33,Misc Stat > Assist > Jayla Hemingway,,,
BYU,2,7:11,2 Shaylee Gonzales > No Play Type > To Basket > Miss 2 Pts,15,-,26
,,7:11,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:09,Misc Stat > Defensive Rebound > Blessing Ejiofor,,,
UWV,2,6:41,0 Jayla Hemingway > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Make 2 Pts,15,-,28
,,6:41,Shot > Jayla Hemingway > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,2,6:27,2 Shaylee Gonzales > Cut > Basket > Foul,17,-,28
,,6:27,Personal Foul > Defensive - Any > Jayla Hemingway,,,
,,6:27,Player Movement > Sub In > Away Player > Paisley Johnson,,,
,,6:27,Player Movement > Sub Out > Away Player > Nani Falatea,,,
BYU,2,6:27,2 Shaylee Gonzales > Non Possession > Free Throw,16,-,28
,,6:27,Shot > Shaylee Gonzales > Free Throw > Made,,,
BYU,2,6:27,2 Shaylee Gonzales > Non Possession > Free Throw,17,-,28
,,6:27,Shot > Shaylee Gonzales > Free Throw > Made,,,
