Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BSU - BYU,,
,,5:20,Player Movement > Sub Out > Home Player > Maria Albiero,,,
,,5:06,Misc Stat > Assist > Dominique Leonidas,,,
BYU,2,4:35,2 Shaylee Gonzales > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Dribble Jumper > Short to < 17' > Make 2 Pts,19,-,31
,,4:35,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
BSU,2,4:17,22 Trista Hull > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,19,-,31
,,4:17,Shot > Trista Hull > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BSU,2,4:12,12 Mary-Kay Naro > Offensive Rebound > Short > Run Offense,19,-,31
,,4:12,Misc Stat > Offensive Rebound > Mary-Kay Naro,,,
BSU,2,4:10,12 Mary-Kay Naro > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Turnover,19,-,31
,,4:10,Personal Foul > Offensive Foul - Player Control > Mary-Kay Naro,,,
,,4:10,Turnover > Any Type > Mary-Kay Naro,,,
BYU,2,3:59,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits,19,-,31
,,,Ball Delivered,,,
,,,12 Lauren Gustin > Cut > Basket > Miss 2 Pts,,,
,,3:59,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,3:55,Misc Stat > Defensive Rebound > Rachel Bowers,,,
BSU,2,3:39,15 Dominique Leonidas > P&R Ball Handler > Right P&R > Side > Split > Dribble Jumper > Short to < 17' > Make 2 Pts,21,-,31
,,3:39,Shot > Dominique Leonidas > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,2,3:28,13 Paisley Johnson > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,21,-,31
,,3:28,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,3:24,Misc Stat > Defensive Rebound > Rachel Bowers,,,
BSU,2,3:19,12 Mary-Kay Naro > Transition > Ballhandler > Turnover,21,-,31
,,3:19,Misc Stat > Steal > Paisley Johnson,,,
,,3:19,Turnover > Any Type > Mary-Kay Naro,,,
BYU,2,3:07,4 Arielle MackeyWilliams > Cut > Basket > Miss 2 Pts,21,-,31
,,3:07,Shot > Arielle Mackeywilliams > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,2,3:02,4 Arielle MackeyWilliams > Offensive Rebound > Long > Run Offense,21,-,31
,,3:02,Player Movement > Sub In > Away Player > Kaitlin Burgess,,,
